id,vpn_code,data
73932,3512,"{""id"" : 73932, ""name"" : ""3512_SCL_11315"", ""global_call_limiter"" : 1, ""outgoing_call_limiter"" : null, ""incoming_call_limiter"" : null, ""vpn_id"" : ""3512"", ""resource_type"" : ""SAN""}"
73933,3512,"{""id"" : 73933, ""name"" : ""3512_SCL_11316"", ""global_call_limiter"" : 4, ""outgoing_call_limiter"" : null, ""incoming_call_limiter"" : null, ""vpn_id"" : ""3512"", ""resource_type"" : ""SAN""}"
408512,10018446,"{""id"" : 408512, ""name"" : ""CD0JZFUJFE"", ""global_call_limiter"" : 15, ""outgoing_call_limiter"" : 15, ""incoming_call_limiter"" : 15, ""vpn_id"" : ""10018446"", ""resource_type"" : ""SITE""}"
429969,10003950,"{""id"" : 429969, ""name"" : ""CD0NKX6XFB"", ""global_call_limiter"" : 2, ""outgoing_call_limiter"" : 2, ""incoming_call_limiter"" : 2, ""vpn_id"" : ""10003950"", ""resource_type"" : ""SITE""}"
69046,3552,"{""id"" : 69046, ""name"" : ""3552_SCL_11215"", ""global_call_limiter"" : 5, ""outgoing_call_limiter"" : null, ""incoming_call_limiter"" : null, ""vpn_id"" : ""3552"", ""resource_type"" : ""SAN""}"
69047,3552,"{""id"" : 69047, ""name"" : ""3552_SCL_11216"", ""global_call_limiter"" : 5, ""outgoing_call_limiter"" : null, ""incoming_call_limiter"" : null, ""vpn_id"" : ""3552"", ""resource_type"" : ""SAN""}"
69048,3552,"{""id"" : 69048, ""name"" : ""3552_SCL_11218"", ""global_call_limiter"" : 6, ""outgoing_call_limiter"" : null, ""incoming_call_limiter"" : null, ""vpn_id"" : ""3552"", ""resource_type"" : ""SAN""}"
69049,3552,"{""id"" : 69049, ""name"" : ""3552_SCL_11219"", ""global_call_limiter"" : 5, ""outgoing_call_limiter"" : null, ""incoming_call_limiter"" : null, ""vpn_id"" : ""3552"", ""resource_type"" : ""SAN""}"
418377,10005437,"{""id"" : 418377, ""name"" : ""CD0LSD05F6"", ""global_call_limiter"" : 30, ""outgoing_call_limiter"" : 30, ""incoming_call_limiter"" : 30, ""vpn_id"" : ""10005437"", ""resource_type"" : ""SITE""}"
8539,3166,"{""id"" : 8539, ""name"" : ""Chevron_IPT_SCL_PLON"", ""global_call_limiter"" : 180, ""outgoing_call_limiter"" : 180, ""incoming_call_limiter"" : 180, ""vpn_id"" : ""3166"", ""resource_type"" : ""SITE""}"
411027,10018698,"{""id"" : 411027, ""name"" : ""CD0KEQ7G95"", ""global_call_limiter"" : 120, ""outgoing_call_limiter"" : 120, ""incoming_call_limiter"" : 120, ""vpn_id"" : ""10018698"", ""resource_type"" : ""SITE""}"
424515,10004440,"{""id"" : 424515, ""name"" : ""CD0M7LL8D9"", ""global_call_limiter"" : 4, ""outgoing_call_limiter"" : 4, ""incoming_call_limiter"" : 4, ""vpn_id"" : ""10004440"", ""resource_type"" : ""SITE""}"
428277,10016488,"{""id"" : 428277, ""name"" : ""CD0NBR92AD"", ""global_call_limiter"" : 100, ""outgoing_call_limiter"" : 100, ""incoming_call_limiter"" : 100, ""vpn_id"" : ""10016488"", ""resource_type"" : ""SITE""}"
9283,3369,"{""id"" : 9283, ""name"" : ""MAS_SCL2"", ""global_call_limiter"" : 8, ""outgoing_call_limiter"" : 8, ""incoming_call_limiter"" : 8, ""vpn_id"" : ""3369"", ""resource_type"" : ""SITE""}"
426599,10002296,"{""id"" : 426599, ""name"" : ""CD05V8DNF1"", ""global_call_limiter"" : 2000, ""outgoing_call_limiter"" : 2000, ""incoming_call_limiter"" : 2000, ""vpn_id"" : ""10002296"", ""resource_type"" : ""SITE""}"
426605,10015698,"{""id"" : 426605, ""name"" : ""CD0FY6VG20"", ""global_call_limiter"" : 2000, ""outgoing_call_limiter"" : 2000, ""incoming_call_limiter"" : 2000, ""vpn_id"" : ""10015698"", ""resource_type"" : ""SITE""}"
411016,10000257,"{""id"" : 411016, ""name"" : ""CD02SNG5D2"", ""global_call_limiter"" : 25, ""outgoing_call_limiter"" : 25, ""incoming_call_limiter"" : 25, ""vpn_id"" : ""10000257"", ""resource_type"" : ""SITE""}"
428719,10010792,"{""id"" : 428719, ""name"" : ""CD0N9FYKA9"", ""global_call_limiter"" : 6, ""outgoing_call_limiter"" : 6, ""incoming_call_limiter"" : 6, ""vpn_id"" : ""10010792"", ""resource_type"" : ""SITE""}"
428896,10001116,"{""id"" : 428896, ""name"" : ""CD0NBLAX83"", ""global_call_limiter"" : 500, ""outgoing_call_limiter"" : 500, ""incoming_call_limiter"" : 500, ""vpn_id"" : ""10001116"", ""resource_type"" : ""SITE""}"
428953,10004853,"{""id"" : 428953, ""name"" : ""CD0NG2TF99"", ""global_call_limiter"" : 55, ""outgoing_call_limiter"" : 55, ""incoming_call_limiter"" : 55, ""vpn_id"" : ""10004853"", ""resource_type"" : ""SITE""}"
415594,10005445,"{""id"" : 415594, ""name"" : ""CD0L9G2U99"", ""global_call_limiter"" : 30, ""outgoing_call_limiter"" : 30, ""incoming_call_limiter"" : 30, ""vpn_id"" : ""10005445"", ""resource_type"" : ""SITE""}"
415845,10006192,"{""id"" : 415845, ""name"" : ""CD0KY1XQC0"", ""global_call_limiter"" : 12, ""outgoing_call_limiter"" : 12, ""incoming_call_limiter"" : 12, ""vpn_id"" : ""10006192"", ""resource_type"" : ""SITE""}"
